Area_sqft,Bedrooms_BHK,Age_of_house,Floors,Distance_to_city_center_km,Property_tax_value,Location,House_type,Facing_direction,Furnishing,Nearby_schools_rating,Crime_rate,Parking_available,Road_width_ft,Amenities,Nearby_hospital_distance_km,Nearby_main_road_distance_km,Nearby_bus_stop_distance_km,Nearby_metro_distance_km,Traffic_density,Pollution_index,Demand_index,Appreciation_rate,Competitor_properties_nearby,Loan_amount,Loan_approved,Down_payment,Monthly_EMI,Household_income,Seller_type,Renovation_required,Condition_rating,Construction_material,Water_supply_type,Electricity_backup,Price_range_class,Sold
2033,1,17,3,1.07,27811,Delhi,Duplex,South,Fully Furnished,3.3,3,Yes,91,"Security,Pool",8.65,0.4,3.45,7.55,2,71.7,1.6,10.89,1,4951800,0,1926191,89433,246348,Owner,1,1,Mixed,Both,Yes,1,0
5461,2,42,4,35.27,18502,Kolkata,Villa,South,Semi Furnished,2.2,6.8,Yes,77,"Security,Lift,Gym,Garden",10.21,0.78,1.41,7.69,5.6,180.5,8.72,4.33,13,264142,1,1551745,115541,64780,Builder,0,3,Mixed,Both,Yes,2,0
1917,5,8,1,38.18,28459,Pune,Duplex,North,Fully Furnished,4.8,4.2,Yes,78,"Lift,Playground,Garden",12.46,5.22,4.29,4.69,7.8,79.4,6.93,2.7,2,289815,0,1920318,106357,157142,Owner,1,1,Concrete,Borewell,Yes,1,0
4693,2,18,4,23.22,9303,Mumbai,Villa,South,Fully Furnished,1.4,9.2,No,79,"Lift,Gym,Security,Pool",9.21,4.43,0.68,4.93,7,68.2,1.07,1.17,4,4062300,1,305293,56911,45389,Agent,1,1,Brick,Municipal,No,2,1
3057,3,19,3,30.28,9940,Bhubaneswar,Apartment,North,Semi Furnished,4.3,7.9,Yes,19,"Playground,Security",9.71,2.61,2.25,4.27,6.6,139.8,9.67,7.92,11,2370924,1,1780911,172732,473376,Agent,1,4,Brick,Municipal,No,2,1
4048,4,41,3,20.75,12196,Delhi,Independent House,West,Unfurnished,2.7,5.2,No,28,"Playground,Pool",2.71,3.92,2.14,2.74,7.6,64.2,4.14,11.68,9,392305,1,1827699,69739,244631,Owner,1,1,Brick,Both,No,2,1
5348,2,29,3,11.81,27363,Mumbai,Studio,West,Fully Furnished,4.8,9.8,No,85,"Clubhouse,Gym,Security",1.4,0.13,2.69,1.61,2.1,182.8,2.18,7.15,9,4209948,0,1369206,97754,453997,Builder,0,1,Mixed,Both,Yes,2,0
3988,1,25,4,34.16,8520,Mumbai,Duplex,East,Fully Furnished,3.1,4.1,Yes,68,"Gym,Security",1.98,3.08,3.76,3.43,5.8,54.7,1.03,1.13,1,3381445,1,1837564,6899,346665,Builder,1,3,Mixed,Both,Yes,2,0
1937,5,30,2,24.08,4475,Mumbai,Apartment,North,Semi Furnished,3.9,5,No,33,"Pool,Lift",3.83,1.25,0.71,7.71,8.4,189.6,7.62,12.11,13,888839,0,1030289,124423,352247,Builder,0,3,Mixed,Borewell,No,1,0
5576,3,34,3,23.39,4767,Delhi,Independent House,South,Fully Furnished,3.9,6.8,Yes,89,"Gym,Lift,Playground,Pool",6.98,6.77,3.61,3.97,4.9,155,7.3,12.04,5,196722,1,517061,167809,420107,Owner,0,3,Brick,Municipal,No,2,0
3537,1,2,4,26.54,11619,Mumbai,Apartment,South,Fully Furnished,3.8,5.6,No,82,"Gym,Garden",6.2,2.29,2.36,3.01,3.1,129.4,8.96,6.32,5,1799021,0,67106,104890,426988,Builder,1,3,Concrete,Both,Yes,2,0
497,4,39,3,34.31,18626,Delhi,Villa,North,Unfurnished,1.2,4.1,Yes,86,"Lift,Garden",4.87,5.6,1.42,5.28,1.8,91.9,6.7,13.59,8,3588851,1,334079,65500,339354,Builder,0,4,Brick,Municipal,No,0,0
3615,5,28,4,29.41,7080,Chennai,Apartment,East,Semi Furnished,3.5,4.8,No,27,"Lift,Clubhouse",13.38,0.98,4.06,4.83,8.6,71.5,7.53,7.52,7,3414877,1,334672,108298,195042,Builder,1,1,Concrete,Borewell,No,2,1
4930,4,5,1,8.84,14230,Bhubaneswar,Duplex,North,Unfurnished,4.6,8.8,No,41,"Playground,Gym,Security,Lift",1.78,1.34,2.55,3.73,9.5,136.5,9.58,10.47,14,3365990,0,1791445,53426,51514,Owner,0,3,Brick,Borewell,No,2,0
5132,4,0,1,18.94,23848,Hyderabad,Duplex,South,Unfurnished,4.4,2.8,Yes,28,"Pool,Playground,Lift,Garden",2.59,4.92,4,4.87,6.6,66.4,1.61,5.42,8,207234,1,1576842,150000,412580,Builder,1,2,Mixed,Borewell,Yes,2,0
4150,5,23,4,39.22,23106,Delhi,Studio,North,Unfurnished,4.7,3.9,Yes,47,"Garden,Pool,Clubhouse,Gym",6.81,5.43,1.38,5.43,1.1,154.3,9.74,5.82,4,4203557,0,1774507,181814,234842,Owner,0,1,Mixed,Both,No,2,0
3557,5,37,3,22.41,15735,Bhubaneswar,Studio,South,Semi Furnished,2.8,2.8,No,30,"Security,Garden",2.38,6.3,4.23,6.25,1.4,193.9,1.06,1.21,6,2518319,1,853709,110842,116381,Agent,0,1,Mixed,Municipal,No,2,1
5083,4,33,4,37.56,10207,Delhi,Duplex,South,Fully Furnished,2.8,5.6,Yes,65,"Clubhouse,Lift",2.76,4.89,0.7,2.78,2.5,70.4,5.77,6.44,6,4840295,0,1258370,26864,387973,Owner,0,3,Mixed,Municipal,Yes,2,1
743,3,6,1,32.63,6611,Kolkata,Apartment,North,Unfurnished,4.2,2.4,Yes,94,"Garden,Gym",14.52,4.98,4.98,0.67,1.1,105.8,3.19,13.03,9,2622625,1,1979610,73738,291433,Builder,0,3,Brick,Borewell,No,0,1
5813,5,10,4,26.81,24793,Chennai,Duplex,West,Semi Furnished,2.2,2.5,Yes,66,"Garden,Clubhouse",7.67,1.7,3.8,7.58,5.7,96.5,1.98,6.37,14,176111,0,1713255,82150,126004,Builder,0,2,Concrete,Borewell,No,2,0
5066,1,10,1,14.3,10114,Pune,Apartment,South,Fully Furnished,4.1,8.5,Yes,58,"Garden,Security",2.02,6.63,3.33,2.45,3.5,103.9,3.06,6.47,0,96908,0,1395266,124582,193258,Agent,1,1,Mixed,Municipal,Yes,2,1
1010,2,35,1,12.52,8703,Bhubaneswar,Duplex,South,Semi Furnished,3,7.3,No,15,"Gym,Clubhouse",1.25,5.02,1.77,4.46,2.7,95.8,9.26,12.27,3,1584977,0,1033822,92856,476088,Agent,1,3,Brick,Borewell,Yes,0,1
2127,3,19,2,25.92,21166,Bhubaneswar,Independent House,East,Unfurnished,2.1,2.7,No,64,"Gym,Playground",11.16,1.32,3.28,4.74,4.6,104.6,4.25,9.66,7,1848985,1,247589,147868,84499,Agent,1,2,Concrete,Municipal,No,1,1
2690,5,15,3,17.59,25243,Mumbai,Apartment,South,Semi Furnished,3.6,4.5,Yes,11,"Garden,Security,Lift,Pool",6.08,4.58,4.52,0.83,2.5,48,7.24,9.25,4,466588,0,1457246,122764,443488,Agent,1,3,Concrete,Municipal,Yes,1,0
2254,5,4,4,32.05,8163,Pune,Villa,North,Unfurnished,2.2,9.3,Yes,15,"Clubhouse,Lift,Garden",4.63,5.69,1.22,5.82,6.3,68.1,2.57,10.91,10,1081901,1,166919,116309,297372,Agent,0,3,Mixed,Municipal,No,1,0
3008,3,23,3,30.54,20207,Delhi,Villa,West,Semi Furnished,3.7,8.8,No,90,"Playground,Gym,Pool",10.47,3.3,1.98,1.41,1.7,169.6,6.84,4.71,6,763592,1,1394728,25395,26985,Agent,1,1,Mixed,Both,Yes,2,1
5455,2,29,3,12.83,18065,Delhi,Studio,South,Unfurnished,3.3,6.9,Yes,39,"Playground,Garden,Pool,Lift",10.63,2.43,0.68,6.03,3.3,50.4,7.02,2.08,13,2280109,0,968434,151073,284725,Builder,0,1,Mixed,Both,Yes,2,0
2479,4,29,1,28.26,6923,Hyderabad,Independent House,West,Fully Furnished,3.9,3.6,No,64,"Clubhouse,Playground,Security,Garden",5.73,6.03,3.17,1.49,1.8,90.2,1.74,10.19,9,2232285,1,1652268,55083,355432,Owner,1,4,Concrete,Both,No,1,0
2724,1,38,1,20.03,10202,Mumbai,Villa,East,Semi Furnished,3.4,4.4,Yes,20,"Garden,Gym",14.29,6,2.07,2.54,9.1,41.9,4.06,3.61,10,3477767,1,195905,17787,40794,Agent,0,4,Brick,Both,Yes,1,0
5027,5,47,4,13.27,23523,Pune,Duplex,North,Semi Furnished,4,6.9,No,34,"Lift,Playground,Gym,Security",6.3,5.52,4.12,2.72,3.8,22.7,9.67,10.2,12,1905116,0,1241300,160517,182752,Builder,1,1,Concrete,Municipal,Yes,2,0
1577,2,46,4,16.81,10470,Mumbai,Villa,South,Fully Furnished,5,6,No,44,"Lift,Playground",6,1.51,0.7,7,7.8,146.9,5.47,13.85,1,689015,0,865250,67545,394582,Agent,1,4,Mixed,Both,No,1,0
1491,1,36,4,35.87,13134,Hyderabad,Duplex,West,Unfurnished,2.9,6,Yes,82,"Pool,Clubhouse,Lift,Playground",11.78,3.96,0.77,1.48,2.2,93.8,8.95,10.91,7,3565889,1,146968,22629,281648,Owner,0,1,Brick,Borewell,Yes,0,1
5379,3,32,1,14.7,14620,Mumbai,Independent House,South,Unfurnished,3.4,4.8,Yes,98,"Gym,Lift,Security",12.33,3.14,1.68,5.18,8,186.7,4.09,13.43,9,2527445,1,164437,104131,255745,Agent,0,4,Concrete,Borewell,No,2,1
3191,5,19,2,11.85,24050,Mumbai,Studio,West,Unfurnished,1.4,1.8,No,17,"Garden,Pool",4.66,4.91,1.67,3.4,5.4,156.4,7.42,11.09,4,4411568,1,248403,191864,443927,Builder,1,4,Brick,Borewell,No,2,0
2149,4,21,4,14.4,7520,Chennai,Villa,East,Fully Furnished,4.8,2.1,No,76,"Security,Playground,Clubhouse,Garden",10.49,6.28,3.54,2.18,7.7,175,4.25,5.36,14,3750380,1,862363,117131,371791,Builder,1,4,Brick,Municipal,No,1,1
3075,3,40,1,8.98,25305,Kolkata,Studio,West,Semi Furnished,3.4,8.5,Yes,99,"Security,Lift,Playground,Clubhouse",9.77,1.8,1.98,0.5,5.4,80.3,5.79,11.76,2,2385948,1,43771,90137,263879,Agent,0,4,Concrete,Both,No,2,1
1181,5,20,2,22.01,29367,Bhubaneswar,Independent House,South,Semi Furnished,1.4,9,Yes,95,"Gym,Lift",0.99,2.24,2.8,6.12,2.5,136.4,10,8.4,2,3492730,0,1926765,14828,396906,Agent,1,1,Brick,Municipal,No,0,0
3448,2,36,3,6.32,4085,Pune,Apartment,North,Semi Furnished,2.6,9,No,33,"Playground,Clubhouse,Gym",3.33,1.73,2.81,1.49,2.2,24.4,4.87,10.08,13,4432925,1,1962897,174258,149708,Agent,0,3,Concrete,Municipal,No,2,1
2505,1,26,1,32.79,23453,Hyderabad,Independent House,West,Fully Furnished,1.3,5.3,Yes,30,"Gym,Lift,Playground,Garden",1.96,5.32,1.25,7.85,3,144.7,3.23,13.96,7,2215442,0,1603218,40078,54552,Builder,0,3,Brick,Municipal,No,1,0
4267,1,37,4,9.41,19490,Bangalore,Independent House,West,Unfurnished,3,9.4,Yes,25,"Lift,Security",13.34,3.53,4.62,3.65,5.2,92.1,7.01,3.1,8,1953983,0,1968783,98894,122190,Builder,1,1,Concrete,Borewell,Yes,2,1
5376,5,34,4,24.12,10223,Chennai,Independent House,North,Unfurnished,2.1,8.5,Yes,55,"Lift,Garden,Playground",14.36,3.39,1.14,1.34,5.4,75.8,1.2,13.39,0,3018854,0,1890401,79190,129172,Owner,1,2,Concrete,Municipal,No,2,1
4942,3,37,2,5.44,16327,Kolkata,Apartment,South,Unfurnished,2.4,4.5,Yes,45,"Garden,Lift,Pool,Playground",12.46,3.52,3.46,0.61,5.4,181.6,3.92,5.63,5,1192861,0,579449,47615,357225,Builder,0,3,Concrete,Borewell,No,2,1
2513,4,39,2,39.15,29701,Chennai,Apartment,West,Semi Furnished,1.3,3,No,19,"Security,Garden,Pool",5.01,2.23,2.36,4.57,6.4,199,7.37,2.08,0,3812481,0,1175248,190373,295611,Owner,1,3,Brick,Both,Yes,1,0
5773,2,5,1,18.46,27312,Bangalore,Independent House,East,Fully Furnished,4,7.6,Yes,75,"Playground,Garden,Gym",12.97,1.68,2.79,3.03,2.1,138.2,4.61,6.35,9,115999,0,192369,189637,94466,Agent,0,1,Brick,Both,No,2,1
4370,5,31,2,32.98,20232,Chennai,Apartment,South,Unfurnished,4.4,7.5,No,26,"Gym,Lift,Playground,Security",1.34,5.64,3.51,4.51,8.7,73.2,8.18,3.09,3,337171,0,624276,54908,152864,Builder,0,4,Mixed,Borewell,Yes,2,1
2391,2,15,1,30.86,29608,Mumbai,Duplex,West,Unfurnished,1.6,9,No,84,"Security,Pool",10.44,4.44,4.8,6.65,8.8,180,5.6,13.05,13,2932784,0,1764968,95600,276153,Owner,1,4,Mixed,Both,No,1,1
1467,1,27,2,28.69,5608,Kolkata,Independent House,East,Semi Furnished,4,1.5,Yes,82,"Pool,Clubhouse,Garden,Gym",2.3,5.07,0.11,5.72,6.6,168.7,1.92,13.16,1,3844565,1,1100272,77206,180928,Builder,1,2,Brick,Municipal,No,0,1
1977,4,15,3,33.18,15197,Kolkata,Villa,East,Unfurnished,1.5,4.2,No,66,"Security,Pool",0.68,2.16,3.63,6.63,8.4,185.4,8.19,11.14,7,4393351,1,1896184,91759,377272,Agent,0,2,Mixed,Both,Yes,1,0
1411,2,26,4,4.47,14332,Hyderabad,Duplex,North,Semi Furnished,1.3,1.3,No,19,"Playground,Clubhouse",3.04,1.29,0.88,1.54,2.8,80.2,9.65,2.75,8,2633242,1,1346875,185061,282657,Builder,1,1,Mixed,Borewell,No,0,1
2674,5,2,4,27.3,26491,Mumbai,Independent House,South,Unfurnished,1.5,2.9,No,84,"Pool,Lift,Garden,Playground",14.47,1.97,3.9,4.51,5.5,60.5,1.65,4.5,14,1596625,1,1287724,172108,394789,Builder,0,2,Mixed,Borewell,No,1,1
5269,4,48,3,11,4677,Bangalore,Villa,East,Semi Furnished,1.1,4.6,Yes,88,"Playground,Clubhouse,Pool",11.44,6.26,4.45,7.21,2.2,112.6,9.83,12.98,1,4897379,1,345079,32350,182965,Agent,0,2,Brick,Both,Yes,2,0
2214,3,20,4,31.54,2293,Mumbai,Villa,West,Semi Furnished,2.5,2.1,No,75,"Security,Lift",8.01,2.42,2.73,0.2,6.1,193.7,3.7,4.32,0,2476759,1,466467,120505,120074,Builder,1,3,Brick,Both,No,1,0
2826,5,37,4,38.3,21580,Bangalore,Studio,South,Unfurnished,4.8,8.4,Yes,26,"Lift,Clubhouse",14.09,0.54,2.39,3.23,9.8,46.5,6.14,12.98,8,2118298,1,1450281,53009,343943,Owner,0,1,Concrete,Both,Yes,1,0
5697,2,37,4,36.11,19955,Chennai,Studio,North,Semi Furnished,4.6,2.8,No,84,"Garden,Clubhouse",6.53,3.48,0.33,1.09,2.7,127.9,1.71,14.52,12,4265097,1,26530,184101,108056,Builder,0,1,Brick,Both,No,2,0
5946,4,29,4,5.04,29624,Delhi,Villa,East,Unfurnished,2.3,4.7,Yes,41,"Security,Garden",1.08,2.37,4.25,6.46,2.7,37.5,8.37,1.15,11,4540426,0,1879600,139206,469029,Owner,0,3,Concrete,Borewell,Yes,2,0
4802,5,21,3,15.1,29515,Hyderabad,Independent House,East,Unfurnished,4.2,8.2,No,78,"Lift,Playground,Garden",9.12,3.41,4.59,1.26,8.3,75.6,4.97,4.61,9,219882,0,1110846,20737,15074,Owner,0,3,Concrete,Both,Yes,2,0
5274,4,18,1,14.89,24950,Hyderabad,Independent House,East,Fully Furnished,4.3,2.1,No,27,"Security,Lift",12.51,4.86,3.62,6.79,4.6,46.3,4.85,6.2,9,1502267,0,488843,67187,138057,Builder,0,4,Concrete,Both,No,2,1
2951,4,30,4,5.33,14454,Chennai,Independent House,West,Unfurnished,1.6,6.6,No,55,"Security,Playground",4.65,6.69,1.28,6.3,3.4,38.3,9.47,3.04,4,3007129,1,1183381,71500,43685,Builder,1,1,Brick,Both,Yes,1,0
4057,4,19,3,4.38,18652,Chennai,Independent House,South,Unfurnished,1.9,9.5,Yes,55,"Pool,Clubhouse,Security",5.1,5.48,1.29,6.03,2.8,197.8,4.54,11.93,14,3839550,1,83040,32004,438181,Agent,0,3,Concrete,Both,Yes,2,1
407,2,46,4,15.7,17553,Pune,Villa,West,Fully Furnished,3.8,5.1,Yes,11,"Pool,Lift",10.24,3.51,4.49,4.79,6.1,44.8,7.27,1.46,4,1645975,1,441769,199579,74352,Owner,1,1,Brick,Both,No,0,1
2955,5,18,3,39.69,25457,Bhubaneswar,Apartment,East,Fully Furnished,2.1,3.2,No,36,"Pool,Clubhouse,Security,Gym",12.17,5.44,0.35,5.76,5.7,61.6,9.55,2.85,14,4860593,1,1471677,166800,55079,Owner,0,4,Mixed,Municipal,Yes,1,1
875,1,1,3,22.97,27723,Chennai,Apartment,North,Semi Furnished,4.8,9.5,No,17,"Pool,Gym,Garden",6.79,1.75,0.51,4.91,9.3,54.7,9.45,7.56,13,1537680,1,1866174,12270,116959,Builder,1,4,Brick,Borewell,Yes,0,1
5816,1,39,1,25.06,21726,Mumbai,Independent House,West,Fully Furnished,1.9,1.5,No,37,"Lift,Clubhouse,Security,Playground",1.79,5.81,3.11,1.44,5.3,179.3,8.39,8.56,10,4320136,0,787230,52397,275358,Owner,1,1,Brick,Both,Yes,2,1
2611,2,38,2,19.11,7177,Pune,Studio,North,Fully Furnished,4.2,3.8,No,65,"Clubhouse,Garden,Playground,Security",11.33,3.91,2.57,2.61,6.3,89.4,9.41,14.1,10,2529523,0,218416,81524,64169,Builder,0,2,Concrete,Both,Yes,1,1
884,2,26,1,26.66,2879,Chennai,Villa,West,Semi Furnished,4,8.4,Yes,58,"Pool,Playground",6.68,5.7,0.27,2.69,5.3,32,4.52,9.06,6,3333283,1,1380201,57050,141964,Builder,1,2,Mixed,Borewell,Yes,0,1
5400,4,7,1,38.29,18442,Bangalore,Apartment,North,Fully Furnished,3,2.4,Yes,78,"Security,Clubhouse,Playground,Lift",13.7,4.05,4.46,3.44,8.7,114.5,6.45,8.97,8,1510292,1,597379,137897,30666,Owner,0,2,Concrete,Both,No,2,0
5054,5,44,4,23.75,12689,Hyderabad,Villa,North,Unfurnished,2.1,1.8,Yes,36,"Lift,Security,Playground,Pool",4.17,2.39,1.63,4.83,2.1,49.9,5.19,2.12,1,2652455,0,1900248,178271,89202,Builder,1,4,Concrete,Borewell,Yes,2,0
2685,5,26,3,3.07,5891,Delhi,Studio,East,Fully Furnished,1.1,5.1,No,98,"Playground,Gym",7.22,0.85,1.4,1.26,4.9,142,5.48,14.11,6,762429,1,1380623,113180,186560,Owner,1,1,Brick,Both,No,1,1
5623,3,14,2,19.97,18600,Delhi,Villa,East,Semi Furnished,4.3,4,No,36,"Garden,Clubhouse,Pool,Playground",10.77,3.31,4.45,7.63,8.8,97.2,7.36,13.44,14,2859426,1,1961573,43684,297586,Builder,0,4,Concrete,Municipal,No,2,0
5729,3,11,3,39.71,7700,Mumbai,Studio,South,Unfurnished,2.5,8.2,Yes,21,"Pool,Gym",4.06,5.19,3.19,0.77,1.3,125.4,1.45,13.78,10,2982070,0,1744239,72467,44712,Builder,1,2,Concrete,Both,Yes,2,0
4963,1,46,4,15.8,9649,Delhi,Studio,East,Semi Furnished,2.4,4,No,13,"Lift,Clubhouse",3.79,2.15,2.07,4.17,7.8,190.9,8.95,1.91,7,3181872,0,1219757,147365,142501,Agent,0,3,Mixed,Both,Yes,2,0
3925,3,13,3,23.96,24630,Chennai,Duplex,South,Fully Furnished,1.2,7,No,61,"Lift,Pool,Playground",11.07,2.14,2.15,0.4,3.3,133,9.57,4.42,12,3688564,1,401614,53634,407374,Agent,1,1,Mixed,Municipal,No,2,0
3739,3,6,4,4.71,14804,Delhi,Studio,East,Unfurnished,1.6,6,Yes,66,"Clubhouse,Playground",3.11,5.4,2.55,2.32,8,32.3,3.93,12.59,10,1005906,1,1607230,191946,324250,Agent,1,3,Mixed,Municipal,Yes,2,0
3222,1,16,1,6.08,26362,Chennai,Duplex,North,Fully Furnished,2.5,6.4,No,43,"Garden,Security,Pool,Lift",2.23,1.39,2.4,4.42,6.3,161.6,4.82,5.5,5,4723859,0,72828,30295,346074,Builder,0,1,Brick,Municipal,Yes,2,1
5343,1,25,1,35.05,12503,Bangalore,Studio,South,Semi Furnished,3.8,5.6,Yes,59,"Clubhouse,Garden,Lift",4.25,2.91,0.49,5.19,4.7,165.2,9.3,13.01,3,3217797,0,1266506,68790,44259,Builder,0,2,Mixed,Municipal,Yes,2,0
3324,3,36,4,12.36,8384,Kolkata,Studio,East,Semi Furnished,1.8,2.2,No,33,"Garden,Playground",12.39,4.37,4.71,3.62,8.1,180.7,3.3,6.69,10,4173446,0,1316124,102125,498375,Builder,1,1,Brick,Both,No,2,1
658,5,19,1,12.57,23340,Bhubaneswar,Villa,West,Fully Furnished,1.7,1.6,Yes,45,"Gym,Pool,Security",13.03,2.65,0.98,5.1,3.2,88.5,9.2,6.95,0,1139625,0,314165,157802,67491,Owner,1,3,Mixed,Municipal,Yes,0,1
682,3,9,3,15.79,19117,Hyderabad,Duplex,East,Semi Furnished,2,5.9,Yes,62,"Clubhouse,Lift",2.01,6.75,0.47,4.32,4.6,60.1,8.44,8.48,0,3395797,1,1259757,95323,363511,Agent,1,3,Mixed,Borewell,Yes,0,0
2298,4,18,2,38.68,24334,Bangalore,Apartment,East,Fully Furnished,2.1,6.8,No,26,"Security,Playground,Garden,Clubhouse",2.09,6.44,0.49,1.85,2.1,119.6,9.45,8.32,10,2306815,1,1739706,126232,88408,Owner,1,2,Concrete,Both,Yes,1,0
4535,4,17,2,3.83,7348,Kolkata,Apartment,West,Semi Furnished,2.6,7.5,Yes,41,"Playground,Garden,Gym",12.64,6.65,3.17,2.74,2.6,132.4,2.96,6.06,7,1295077,0,1147809,154723,96595,Builder,1,4,Mixed,Both,No,2,0
3376,4,29,3,32.84,7571,Mumbai,Villa,East,Semi Furnished,2.4,7.5,Yes,63,"Pool,Clubhouse",14.22,6.88,4.41,0.19,5.6,115.3,7.64,6.73,9,3245308,1,80436,76088,123110,Builder,0,2,Brick,Borewell,Yes,2,1
2667,2,29,2,13.99,9074,Bhubaneswar,Apartment,South,Semi Furnished,1.3,7.7,Yes,69,"Gym,Garden,Pool",7.46,6.82,3.42,0.23,3.2,154.5,3.63,8.56,8,4783784,0,1966100,15111,355728,Owner,0,3,Mixed,Both,No,1,0
3600,4,24,3,34.05,12694,Delhi,Apartment,East,Semi Furnished,3.5,1.2,Yes,64,"Pool,Lift",12.81,2.28,1.83,3.22,2.3,110.9,8.06,10.46,1,3984040,0,749268,111830,281811,Builder,1,1,Concrete,Municipal,Yes,2,0
5510,5,23,4,39.67,14831,Mumbai,Studio,East,Unfurnished,1.5,3,Yes,71,"Pool,Lift",13.4,3.74,2.71,3.67,4.9,193.5,8.16,6.76,2,1419307,1,1169363,189249,467602,Agent,1,4,Brick,Both,Yes,2,0
1012,2,9,2,14.27,17200,Pune,Independent House,West,Unfurnished,4.5,7.6,No,68,"Gym,Garden,Playground",5.73,5.51,1.39,6.7,2.6,88.2,2,7.17,5,4719491,1,1020425,58774,305469,Builder,1,4,Brick,Municipal,No,0,0
1087,2,1,4,5.61,20805,Chennai,Independent House,West,Fully Furnished,4.4,2.1,No,85,"Garden,Gym,Pool,Lift",7.82,5.07,0.63,0.34,8.9,40.7,1.46,3.73,7,3274983,1,394360,184453,498932,Agent,0,4,Brick,Both,No,0,0
4090,4,37,4,6.2,21761,Bangalore,Apartment,East,Fully Furnished,1.3,2.7,No,15,"Pool,Garden,Clubhouse,Lift",8.78,1.91,0.54,1.28,9,102.4,4.54,8.1,1,3160021,0,441716,6760,319203,Agent,1,3,Brick,Municipal,Yes,2,0
1012,3,31,3,30.47,26949,Bangalore,Villa,West,Fully Furnished,2.7,6.9,No,41,"Garden,Playground",11.74,2.61,3.47,3.59,9.2,73.7,8.48,9.46,4,3750396,0,1537478,25048,416638,Owner,1,3,Brick,Municipal,Yes,0,0
2707,1,34,2,6.22,17546,Bangalore,Villa,North,Fully Furnished,2.9,8.3,Yes,11,"Pool,Security,Clubhouse",7.16,6.57,2.17,1.63,9.7,47.6,2.69,12.51,9,2472854,0,679816,69880,191535,Owner,1,2,Concrete,Municipal,Yes,1,0
3413,3,36,1,10.79,9104,Bhubaneswar,Duplex,West,Semi Furnished,5,2.5,No,25,"Security,Pool",7.86,6.54,3.18,6.56,3.2,119.2,6.17,4.86,12,1463357,1,1796480,39419,425822,Owner,1,4,Brick,Borewell,No,2,0
2181,3,6,1,8.57,18348,Hyderabad,Villa,South,Semi Furnished,2,6,No,64,"Clubhouse,Pool,Security",1.58,5.11,3.41,5.71,6.1,87.1,1.85,6.59,12,1286580,0,1650378,30013,86741,Agent,0,2,Concrete,Borewell,No,1,1
2991,2,6,1,14.55,25167,Hyderabad,Villa,East,Semi Furnished,3.5,2.6,Yes,77,"Security,Lift,Gym",1.29,0.14,4.79,7.67,3.7,55,2.1,14.21,12,51979,1,140994,35974,313893,Agent,0,4,Concrete,Borewell,Yes,1,0
3096,2,26,1,3.44,18495,Bangalore,Studio,West,Fully Furnished,2.8,2.9,No,37,"Pool,Gym,Playground",11.23,3.66,1.85,1.71,2.6,124.9,6.73,7.86,8,3999396,1,984341,194894,198286,Owner,1,2,Concrete,Municipal,No,2,1
4358,2,9,3,34.34,12732,Bhubaneswar,Studio,East,Unfurnished,4.1,5.3,No,89,"Pool,Clubhouse,Security",7.49,1.55,1.07,2.85,3.4,147.7,7.32,12.39,11,4128298,1,1177152,126311,71062,Builder,1,1,Concrete,Borewell,No,2,0
5648,5,32,4,34.48,26869,Bhubaneswar,Apartment,South,Fully Furnished,2,7.1,No,32,"Garden,Pool,Clubhouse,Lift",1.8,5.45,0.73,2.73,3.9,54.6,3.23,1.73,9,241286,0,1209930,72293,299300,Agent,1,1,Concrete,Municipal,No,2,0
974,5,42,2,16.81,4469,Bhubaneswar,Villa,North,Unfurnished,3.7,6.2,No,56,"Clubhouse,Garden,Gym",3.99,0.66,0.19,3.62,5.1,182.8,7.29,5.95,5,3956660,1,1914193,52059,213078,Owner,1,1,Brick,Both,Yes,0,0
2310,1,6,3,24.68,20582,Delhi,Independent House,North,Unfurnished,1.5,1.8,Yes,19,"Playground,Pool,Security,Gym",10.32,5.67,0.85,1,2.3,121.7,2.09,11.05,11,4837236,0,1611835,43338,331078,Builder,0,2,Concrete,Municipal,No,1,0
5508,2,5,1,25.86,23677,Bangalore,Villa,East,Semi Furnished,1.1,3.6,No,70,"Gym,Garden,Playground,Clubhouse",7.82,2.21,3.49,5.99,1.7,36.6,5.79,13.8,1,3271550,0,1546243,103183,430917,Owner,1,3,Concrete,Both,No,2,1
4004,4,5,2,30.1,13460,Kolkata,Villa,West,Semi Furnished,1.1,9.4,Yes,91,"Pool,Garden,Clubhouse,Playground",12.02,2.66,2.2,0.42,4.5,106.2,4.7,3.45,6,3346758,0,254801,109373,305777,Owner,1,2,Concrete,Both,No,2,0
1069,2,12,3,21.07,17614,Kolkata,Apartment,North,Fully Furnished,3,6.6,No,62,"Clubhouse,Pool,Gym,Playground",6.2,4.89,4.39,5.4,6.1,143.6,4.71,11.03,1,3948560,0,990493,58049,441752,Agent,1,1,Concrete,Both,Yes,0,1
4764,5,47,4,20.66,25965,Bangalore,Independent House,East,Fully Furnished,4.1,6.9,Yes,77,"Pool,Clubhouse",2.17,1.68,0.16,4.18,8.3,22.9,1.41,1.6,5,260493,0,998722,72303,262980,Owner,0,3,Mixed,Both,Yes,2,1
